time,lon,lat,alt,speed,epx,epy,epv,eps
1527011602,-8.59505041,41.178522761,138.359,0.094,7.407,16.509,33.554,33.02
1527011605,-8.59505041,41.178522761,138.359,0.094,7.407,16.509,33.554,33.02
1527011609,-8.59505041,41.178522761,138.359,0.094,7.407,16.509,33.554,33.02
1527011612,-8.595052191,41.178528622,137.614,0.0,7.407,16.509,33.554,33.02
1527011615,-8.595052191,41.178528622,137.614,0.094,7.407,16.509,33.554,33.02
1527011618,-8.595052191,41.178521845,136.956,0.094,7.407,16.509,33.554,33.02
1527011621,-8.595052191,41.178521845,136.956,0.094,7.407,16.509,33.554,33.02
1527011624,-8.595052191,41.178521845,136.956,0.094,7.407,16.509,33.554,33.02
1527011627,-8.595052191,41.178521845,136.956,0.094,7.407,16.509,33.554,33.02
1527011630,-8.595053972,41.178527707,136.212,0.094,7.407,16.509,33.554,33.02
1527011633,-8.595053972,41.178527707,136.212,0.0,7.407,16.509,33.554,33.02
1527011636,-8.595053972,41.178527707,136.212,0.094,7.407,16.509,33.554,33.02
1527011639,-8.595053972,41.178527707,136.212,0.0,7.407,16.509,33.554,33.02
1527011642,-8.595053972,41.178527707,136.212,0.094,7.407,16.509,33.554,33.02
1527011645,-8.595053972,41.178527707,136.212,0.0,7.407,16.509,33.554,33.02
1527011648,-8.595055753,41.178533569,135.468,0.0,7.407,16.509,33.554,33.02
1527011651,-8.595055753,41.178526792,134.809,0.0,7.407,16.509,33.554,33.02
1527011654,-8.595055753,41.178526792,134.809,0.0,7.407,16.509,33.554,33.02
1527011657,-8.595055753,41.178526792,134.809,0.094,7.407,16.509,33.554,33.02
1527011660,-8.595055753,41.178526792,134.809,0.0,7.407,16.509,33.554,33.02
1527011663,-8.59504397,41.178527678,134.697,0.094,7.407,16.509,33.554,33.02
1527011666,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011669,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011672,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011675,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011678,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011681,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011684,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011687,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011690,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011693,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011696,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011699,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011702,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011705,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011708,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011711,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011714,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011717,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011720,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011723,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011726,-8.59504397,41.178534455,135.355,0.094,7.407,16.509,33.554,33.02
1527011729,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011732,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011735,-8.59504397,41.178534455,135.355,0.0,7.407,16.509,33.554,33.02
1527011738,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011741,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011744,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011747,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011750,-8.595032186,41.178535341,135.243,0.094,7.407,16.509,33.554,33.02
1527011753,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011756,-8.595032186,41.178535341,135.243,0.0,7.407,16.509,33.554,33.02
1527011759,-8.595032186,41.178535341,135.243,0.094,7.407,16.509,33.554,33.02
1527011762,-8.595032186,41.178528564,134.584,0.094,7.407,16.509,33.554,33.02
1527011765,-8.595032186,41.178528564,134.584,0.0,7.407,16.509,33.554,33.02
1527011768,-8.595032186,41.178528564,134.584,0.094,7.407,16.509,33.554,33.02
1527011771,-8.595032186,41.178528564,134.584,0.094,7.407,16.509,33.554,33.02
1527011774,-8.595032186,41.178528564,134.584,0.094,7.407,16.509,33.554,33.02
1527011777,-8.595032186,41.178528564,134.584,0.094,7.407,16.509,33.554,33.02
1527011780,-8.595033967,41.178534426,133.84,0.0,7.407,16.509,33.554,33.02
1527011783,-8.595033967,41.178534426,133.84,0.094,7.407,16.509,33.554,33.02
1527011786,-8.595033967,41.178534426,133.84,0.094,7.407,16.509,33.554,33.02
1527011789,-8.595033967,41.178534426,133.84,0.0,7.407,16.509,33.554,33.02
1527011792,-8.595033967,41.178534426,133.84,0.0,7.407,16.509,33.554,33.02
1527011795,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011798,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011801,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011804,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011807,-8.595033967,41.178527649,133.182,0.094,7.407,16.509,33.554,33.02
1527011810,-8.595033967,41.178527649,133.182,0.094,7.407,16.509,33.554,33.02
1527011813,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011816,-8.595033967,41.178527649,133.182,0.094,7.407,16.509,33.554,33.02
1527011819,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011822,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011825,-8.595033967,41.178527649,133.182,0.0,7.407,16.509,33.554,33.02
1527011828,-8.595035748,41.17853351,132.437,0.094,7.407,16.509,33.554,33.02
1527011831,-8.595035748,41.17853351,132.437,0.0,7.407,16.509,33.554,33.02
1527011834,-8.595035748,41.17853351,132.437,0.0,7.407,16.509,33.554,33.02
1527011837,-8.595035748,41.17853351,132.437,0.094,7.407,16.509,33.554,33.02
1527011840,-8.595035748,41.17853351,132.437,0.094,7.407,16.509,33.554,33.02
1527011843,-8.595035748,41.17853351,132.437,0.094,7.407,16.509,33.554,33.02
1527011846,-8.595035748,41.17853351,132.437,0.0,7.407,16.509,33.554,33.02
1527011849,-8.595035748,41.17853351,132.437,0.0,7.407,16.509,33.554,33.02
1527011852,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011855,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011858,-8.595047532,41.178539401,133.208,0.094,7.407,16.509,33.554,33.02
1527011861,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011864,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011867,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011870,-8.595047532,41.178539401,133.208,0.0,7.407,16.509,33.554,33.02
1527011873,-8.595047532,41.178532624,132.55,0.083,1.852,4.127,8.388,8.25
1527011876,-8.595049313,41.178538486,131.806,0.0,1.852,4.127,8.388,8.25
1527011879,-8.595049313,41.178545263,132.464,0.0,1.852,4.127,8.388,8.25
1527011882,-8.59503931,41.178558788,132.266,0.083,1.852,4.127,8.388,8.25
1527011885,-8.595027527,41.178566451,132.812,0.083,1.852,4.127,8.388,8.25
1527011888,-8.595015743,41.178574114,133.358,0.023,1.852,4.127,8.388,8.25
